annual_income,code,hourly_income,industry_code,total_emp,label,automation_probability,rank
85600,29-1199,41.16,1235,36680,,0.02,85
58730,29-2031,28.24,1235,56560,,0.23,219
73860,29-2032,35.51,1235,71130,,0.35,251
78870,29-2033,37.92,1235,18810,,0.13,180
30130,29-2051,14.49,1235,33540,,0.13,183
34020,29-2052,16.35,1235,417860,,0.92,562
37760,29-2053,18.15,1235,71360,,0.043,132
51380,29-2054,24.7,1235,9090,,0.1,174
49040,29-2055,23.58,1235,110160,,0.34,247
35560,29-2056,17.1,1235,106680,,0.029,106
73860,29-2091,35.51,1235,8830,,0.0035,7
74940,29-9011,36.03,1235,88390,,0.17,196
55270,29-9012,26.57,1235,18020,,0.25,223
49280,29-9091,,1235,26890,,0.0071,35
